Min;Data1;Data2;Data3;Data4;Data5;Data6
16:3;8,780;6,140;7,140;43,040;42,280;44,400
16:4;2,927;1,940;2,447;14,327;14,120;14,780
16:5;2,960;1,960;2,380;14,367;14,187;14,847
16:6;2,887;1,907;2,207;14,327;14,213;14,847
16:7;2,880;1,973;2,240;14,620;14,507;15,167
16:8;3,247;1,987;2,040;14,460;14,413;15,253
16:9;3,233;1,953;2,020;14,573;14,553;15,300
16:10;2,893;2,233;2,020;14,393;14,100;14,893
16:11;2,873;2,220;2,127;14,460;14,213;14,960
16:12;2,893;2,393;2,740;14,440;14,213;14,733
16:13;2,927;2,293;2,727;14,460;14,327;14,800
16:14;2,907;2,227;3,067;14,460;14,327;14,620
16:15;3,047;2,227;3,033;14,393;14,327;14,640
16:16;3,060;2,320;2,993;14,393;14,260;14,640
16:17;2,967;2,280;2,960;14,367;14,213;14,600
16:18;2,907;2,260;2,933;14,913;14,780;15,027
16:19;2,933;2,260;2,973;14,893;14,753;15,007
16:20;2,927;2,253;2,973;14,893;14,753;15,053
16:21;2,940;2,280;2,880;14,753;14,640;15,053
16:22;3,247;2,353;2,827;15,027;14,940;15,393
16:23;3,280;2,473;2,807;15,027;14,893;15,300
16:24;2,967;2,367;3,173;15,113;15,027;15,167
16:25;3,580;2,953;3,667;14,960;14,913;15,100
16:26;3,653;3,027;3,880;14,980;14,913;15,100
16:27;3,593;3,007;4,047;15,000;14,940;15,053
16:28;3,620;2,993;3,760;15,027;14,867;15,187
16:29;3,607;2,960;3,713;15,027;14,913;15,187
16:30;3,600;2,993;3,747;15,073;14,893;15,187
16:31;4,287;3,440;4,480;14,867;14,893;15,100
16:32;4,287;3,447;4,473;14,913;14,913;15,120
16:33;4,333;3,480;4,527;14,913;14,940;15,073
16:34;4,293;3,400;4,493;14,893;14,960;15,027
16:35;4,360;3,520;4,420;14,867;14,893;15,120
16:36;4,313;3,447;4,353;14,933;15,073;15,280
16:37;4,380;3,447;4,360;14,913;15,053;15,327
16:38;4,373;3,440;4,327;14,893;15,027;15,300
16:39;4,247;3,467;4,520;15,047;15,187;15,253
16:40;4,387;3,540;4,540;15,027;15,120;15,280
16:41;4,327;3,527;4,560;15,073;15,140;15,327
16:42;3,793;2,960;4,040;15,253;15,347;15,440
16:43;3,260;2,080;3,120;15,367;15,667;15,687
16:44;3,313;2,227;3,313;15,453;15,593;15,687
16:45;3,040;2,087;3,300;15,567;15,640;15,707
16:46;3,040;2,127;3,187;15,527;15,620;15,753
16:47;2,987;2,053;2,940;15,527;15,640;15,800
16:48;3,053;2,107;2,993;15,527;15,687;15,753
16:49;3,660;2,973;3,813;15,300;15,553;15,707
16:50;4,007;2,993;3,780;15,273;15,527;15,707
16:51;3,927;2,933;3,947;15,320;15,527;15,620
16:52;3,993;2,993;3,980;15,253;15,480;15,593
16:53;4,073;3,013;3,967;15,300;15,527;15,687
16:54;3,960;3,007;3,973;15,340;15,553;15,687
16:55;3,907;2,960;4,107;15,340;15,527;15,593
16:56;3,893;2,993;4,120;15,387;15,480;15,593
16:57;4,113;2,980;4,113;15,300;15,553;15,640
16:58;4,093;2,960;3,753;15,300;15,527;15,753
16:59;4,060;2,933;3,693;15,273;15,480;15,780
17:0;4,113;2,927;3,713;15,273;15,527;15,753
17:1;3,993;2,947;3,760;15,227;15,393;15,733
17:2;3,760;2,927;3,760;15,387;15,527;15,707
