Min;Data1;Data2;Data3;Data4;Data5;Data6
0:0;40,500;35,867;31,667;235,460;233,227;240,093
0:1;37,740;28,913;23,173;235,360;235,080;241,300
0:2;37,547;28,473;22,547;235,560;235,193;241,307
0:3;36,673;28,287;23,780;236,340;235,040;241,627
0:4;31,880;28,273;25,413;237,800;235,387;240,693
0:5;31,920;28,500;25,400;238,080;236,353;240,853
0:6;37,147;30,747;25,213;236,893;235,573;241,927
0:7;34,627;21,327;18,300;236,193;236,440;244,207
0:8;30,887;19,953;18,020;237,240;237,313;244,380
0:9;32,213;19,880;17,927;236,420;237,013;243,993
0:10;36,780;19,720;17,867;235,393;236,873;244,227
0:11;27,253;13,193;11,713;237,573;238,300;245,240
0:12;22,953;11,467;10,113;238,880;238,593;245,193
0:13;24,913;12,120;10,087;238,307;238,407;245,233
0:14;28,407;11,720;9,727;236,973;238,293;245,793
0:15;24,847;11,740;10,067;237,787;238,453;245,573
0:16;23,040;11,507;12,700;238,360;238,447;244,953
0:17;25,267;11,700;16,160;237,967;238,433;244,900
0:18;28,900;11,907;13,553;236,700;238,307;245,907
0:19;26,280;12,693;13,127;237,580;238,180;245,040
0:20;28,567;12,160;12,893;237,580;239,333;245,220
0:21;25,447;11,940;13,240;237,773;239,447;244,660
0:22;29,113;12,127;10,913;236,147;238,887;245,707
0:23;25,700;12,220;9,687;236,767;238,127;245,893
0:24;26,280;12,473;9,667;236,707;238,180;245,867
0:25;26,720;12,860;9,280;236,627;238,507;246,160
0:26;29,247;13,200;8,747;236,353;238,460;247,440
0:27;24,527;12,413;15,660;237,800;239,740;244,660
0:28;24,800;12,280;26,053;237,787;241,280;240,967
0:29;26,487;12,200;26,380;237,007;240,933;240,487
0:30;29,580;12,567;23,713;235,480;240,927;242,073
0:31;24,753;12,580;26,520;236,473;240,913;240,807
0:32;24,847;12,920;24,280;236,500;240,420;241,153
0:33;26,447;13,900;23,067;235,567;240,173;241,460
0:34;29,867;14,073;21,127;234,880;240,220;242,640
0:35;24,720;12,553;21,633;236,273;240,260;242,760
0:36;24,107;12,387;21,407;236,560;240,240;242,567
0:37;23,893;11,933;21,340;236,487;240,233;241,760
0:38;28,800;12,153;21,140;235,307;240,207;241,820
0:39;24,547;11,893;14,020;237,367;238,807;244,520
0:40;22,953;12,233;15,367;238,300;238,660;244,080
0:41;22,900;11,653;15,380;237,900;238,747;243,613
0:42;26,773;11,920;12,927;236,720;239,147;244,873
0:43;25,047;11,767;13,073;237,833;238,760;246,160
0:44;22,613;11,913;12,353;238,653;238,700;246,593
0:45;22,833;11,740;10,540;238,380;238,907;246,653
0:46;25,273;12,240;10,787;237,867;238,987;246,273
0:47;26,813;12,847;10,533;237,807;238,180;246,073
0:48;23,280;11,933;10,653;238,487;238,553;245,067
0:49;23,187;12,140;10,313;238,667;238,720;245,147
0:50;23,153;12,113;11,447;238,660;238,887;244,587
0:51;28,607;11,987;12,527;237,293;238,107;245,333
0:52;23,847;11,873;14,533;238,187;238,567;244,480
0:53;30,227;17,300;19,993;236,400;237,293;244,747
0:54;43,467;29,913;33,213;234,320;235,420;243,133
0:55;44,480;30,280;30,873;234,167;234,873;243,887
0:56;46,007;30,393;29,533;234,140;234,300;243,733
0:57;42,460;30,120;30,047;235,080;234,707;242,887
0:58;42,753;29,427;30,167;234,780;235,073;242,207
0:59;42,927;29,400;30,360;235,367;234,907;242,827
1:0;46,120;30,040;30,607;234,407;234,633;243,593
1:1;44,313;30,287;32,940;234,960;235,347;243,147
1:2;42,313;30,980;34,047;235,680;235,780;243,260
1:3;42,453;29,633;33,833;235,680;235,820;243,347
1:4;42,633;29,713;36,527;236,040;236,307;242,320
1:5;47,547;30,307;36,787;234,560;236,293;242,967
1:6;44,113;30,373;34,160;235,447;236,240;242,353
1:7;42,413;29,613;30,227;235,513;235,513;243,340
1:8;42,347;29,560;30,060;235,427;235,440;243,553
1:9;42,633;29,300;30,607;235,420;236,393;243,420
1:10;47,293;29,453;30,360;233,707;236,520;243,960
1:11;43,900;29,453;31,340;234,833;236,540;244,387
1:12;42,427;29,253;31,627;235,093;236,020;243,807
1:13;42,520;29,987;29,680;235,160;235,640;244,000
1:14;42,660;29,553;29,860;235,060;236,813;243,600
1:15;45,740;29,500;29,033;234,147;236,580;244,827
1:16;45,067;29,720;29,933;234,833;236,953;244,860
1:17;43,267;30,060;32,720;235,607;237,167;243,327
1:18;42,973;29,793;32,607;235,213;237,340;242,433
1:19;42,553;29,860;30,173;236,200;237,320;244,540
1:20;43,407;30,520;29,060;236,080;236,793;245,860
1:21;45,680;29,887;28,880;235,013;236,927;246,273
1:22;43,053;29,607;28,720;235,753;237,440;245,287
1:23;42,713;29,213;28,280;235,827;237,180;245,067
1:24;41,380;29,347;28,747;236,160;236,980;245,013
1:25;41,480;29,413;28,920;236,167;236,547;244,707
1:26;45,833;30,200;28,520;234,853;236,493;245,267
1:27;42,607;29,293;28,660;235,660;236,607;245,287
1:28;41,313;29,333;29,153;235,847;236,447;244,820
1:29;41,647;30,667;29,900;235,867;235,827;245,487
1:30;41,660;29,673;32,193;235,520;236,520;244,467
1:31;42,980;29,560;32,307;235,047;236,120;244,507
1:32;46,773;29,833;31,327;234,027;235,680;245,207
1:33;42,273;30,400;30,700;235,833;236,087;245,200
1:34;42,100;29,893;30,567;235,000;236,307;244,720
1:35;41,987;30,453;30,553;235,440;235,933;245,453
1:36;41,740;30,213;30,327;235,360;236,000;245,640
1:37;43,133;30,053;29,713;234,527;235,860;245,747
1:38;45,073;30,260;30,160;234,067;236,273;246,173
1:39;41,520;30,047;30,413;235,000;235,687;245,400
1:40;41,540;30,273;30,480;235,440;235,700;245,567
1:41;41,573;29,780;30,307;235,467;236,100;244,793
1:42;41,753;29,780;30,440;234,967;236,120;244,080
1:43;43,287;29,700;30,160;234,767;236,133;244,547
1:44;45,553;29,800;31,787;234,213;235,787;244,507
1:45;41,907;29,733;32,273;235,880;236,307;243,867
1:46;42,093;30,660;29,593;235,147;236,467;244,447
1:47;42,013;30,273;29,593;235,160;235,953;245,133
1:48;42,027;29,813;30,047;235,587;236,847;245,253
1:49;42,967;29,740;31,233;235,267;237,033;244,527
1:50;47,173;29,627;29,100;233,533;236,513;244,180
1:51;43,467;29,313;29,220;234,567;236,407;243,500
1:52;44,487;29,100;29,160;234,127;236,133;243,800
1:53;42,673;29,887;32,333;235,273;236,227;243,333
1:54;43,313;29,647;32,067;235,620;236,893;243,247
1:55;43,173;29,673;32,060;235,973;236,787;243,813
1:56;47,087;29,787;31,767;234,400;236,500;245,280
1:57;44,440;31,293;33,213;235,253;235,380;243,920
1:58;43,027;29,140;37,120;235,187;236,660;241,980
1:59;42,673;29,800;37,653;235,087;236,253;240,720
2:0;42,560;28,947;34,520;234,960;236,533;241,393
2:1;42,380;29,253;33,513;235,707;236,760;242,347
2:2;35,907;21,693;25,253;236,960;238,280;243,687
2:3;37,600;20,187;23,153;236,300;238,013;244,940
2:4;32,773;20,253;23,307;237,067;237,953;244,500
2:5;32,807;21,180;22,180;236,980;237,553;245,727
2:6;33,407;20,333;20,927;236,433;238,080;245,393
2:7;32,927;19,967;20,467;236,907;238,087;245,500
2:8;33,160;19,667;20,707;236,907;237,540;244,633
2:9;34,880;19,720;20,167;236,247;237,860;244,500
2:10;36,687;20,247;20,553;235,780;237,807;243,967
2:11;33,113;19,400;23,227;236,847;237,780;243,053
2:12;33,187;19,400;25,300;236,833;236,807;242,613
2:13;33,133;19,540;25,073;237,093;237,220;243,547
2:14;33,000;19,520;22,633;236,613;237,687;244,580
2:15;32,833;19,627;21,913;236,807;237,407;244,760
2:16;33,607;20,480;20,920;236,793;237,207;244,853
2:17;36,960;20,267;19,060;235,507;236,887;245,827
2:18;32,700;20,140;19,307;236,753;237,660;244,560
