Min;Data1;Data2;Data3;Data4;Data5;Data6
11:5;13,950;8,100;14,050;211,433;210,700;215,950
11:6;12,360;5,353;10,987;218,220;217,380;221,320
11:7;12,507;5,380;11,240;217,227;216,720;220,207
11:8;13,080;5,580;11,687;214,527;213,787;216,407
11:9;12,907;5,500;11,613;214,967;213,820;215,580
11:10;12,767;5,373;11,367;216,440;215,087;216,440
11:11;13,033;5,440;11,660;212,467;211,280;212,740
11:12;13,000;5,420;11,693;213,020;211,293;212,900
11:13;13,013;5,393;11,660;212,980;211,620;213,153
11:14;13,067;5,407;11,660;212,773;211,873;213,320
11:15;13,060;5,400;11,633;212,887;211,900;213,953
11:16;13,267;5,567;12,033;210,987;210,033;212,640
11:17;13,260;5,640;12,080;210,560;209,833;212,500
11:18;15,553;5,513;11,993;210,100;210,567;213,333
11:19;22,440;5,640;12,693;208,707;211,360;213,800
11:20;22,780;5,767;12,780;208,780;210,887;213,053
11:21;22,740;5,787;12,947;208,927;210,753;212,613
11:22;22,853;5,780;12,833;209,013;210,993;212,653
11:23;22,867;6,100;13,040;208,553;210,113;211,613
11:24;22,773;5,800;12,980;207,060;208,173;210,540
11:25;22,580;5,680;12,727;208,400;209,293;212,413
11:26;23,120;6,147;13,207;207,120;208,493;211,207
11:27;23,247;6,193;13,213;207,100;208,280;211,207
11:28;21,287;6,147;13,213;207,660;208,607;211,373
11:29;15,407;6,147;12,707;207,787;207,633;210,760
11:30;13,247;5,893;12,133;209,720;209,173;211,747
11:31;13,380;5,893;12,260;209,667;208,980;211,940
11:32;18,667;8,407;14,927;212,340;211,220;212,260
11:33;22,933;12,100;17,840;208,767;208,760;210,627
11:34;23,247;12,347;18,073;209,240;208,820;210,987
11:35;17,840;7,353;13,720;210,420;210,393;212,073
11:36;18,100;7,507;13,873;209,687;210,393;212,167
11:37;18,633;7,520;13,933;210,213;210,660;211,273
11:38;20,553;7,973;14,387;211,440;211,933;212,133
11:39;22,740;6,780;14,267;216,260;217,400;216,187
11:40;22,957;6,829;14,386;215,229;216,600;215,279
