Min;Data1;Data2;Data3;Data4;Data5;Data6
0:0;76,560;93,247;108,253;239,147;234,960;235,573
0:1;77,400;94,860;110,747;239,680;235,140;235,720
0:2;78,040;93,980;102,453;238,587;236,760;237,260
0:3;78,107;93,427;100,860;238,080;236,667;237,387
0:4;77,793;92,780;100,707;238,320;236,547;237,727
0:5;78,400;93,813;100,993;238,240;236,620;237,760
0:6;79,000;93,947;103,453;238,527;236,480;237,107
0:7;81,187;92,947;104,340;238,767;236,827;237,120
0:8;79,867;92,373;96,720;237,500;237,453;238,313
0:9;79,173;91,727;91,947;236,640;238,113;239,093
0:10;79,133;92,667;91,840;236,433;237,860;239,287
0:11;79,147;92,767;93,480;236,740;237,627;238,700
0:12;78,853;91,827;95,500;237,300;237,580;238,413
0:13;78,780;91,420;100,087;237,860;236,787;237,427
0:14;80,880;91,840;104,920;238,047;236,600;236,533
0:15;80,820;90,193;92,993;236,147;237,007;238,173
0:16;84,547;90,480;90,813;235,107;237,627;237,993
0:17;84,467;90,853;91,867;235,187;237,740;238,387
0:18;81,353;91,340;91,947;235,820;237,247;238,640
0:19;78,047;91,860;92,380;236,267;237,053;238,567
0:20;76,747;92,413;100,760;238,133;235,733;237,507
0:21;76,633;91,980;98,633;238,053;236,207;237,593
0:22;76,600;91,407;90,727;236,687;237,247;239,087
0:23;77,033;91,040;91,253;236,760;236,913;239,060
0:24;76,980;91,347;91,253;236,660;236,820;239,020
0:25;77,007;92,740;92,307;237,087;237,160;238,947
0:26;78,093;94,013;90,627;236,993;237,287;239,273
0:27;100,947;117,827;122,727;237,327;235,767;236,687
0:28;106,307;124,500;130,667;238,213;236,527;236,767
0:29;106,833;123,147;122,627;236,860;237,200;238,373
0:30;106,600;122,907;121,393;236,473;236,887;238,213
0:31;106,747;122,167;123,687;236,380;236,127;238,127
0:32;105,960;122,727;126,987;236,707;235,880;237,487
0:33;97,653;115,280;118,727;237,273;236,353;237,940
0:34;76,640;92,040;96,213;238,373;237,987;238,927
0:35;76,187;91,967;101,853;239,473;237,020;237,807
0:36;79,487;91,233;96,733;238,040;238,107;238,453
0:37;80,533;90,273;90,667;237,160;239,533;239,580
0:38;80,720;90,373;90,993;237,253;240,260;239,500
0:39;80,180;90,773;91,333;237,580;239,700;239,540
0:40;76,400;92,007;91,333;237,553;238,540;239,380
0:41;76,020;92,133;90,800;238,000;238,393;239,647
0:42;75,707;91,533;97,080;239,187;237,600;238,333
0:43;80,253;91,140;100,393;239,107;238,613;237,880
0:44;80,280;90,913;94,620;238,047;239,053;238,787
0:45;79,553;91,487;102,227;239,487;238,340;237,467
0:46;79,440;91,553;102,060;239,500;238,613;237,513
0:47;79,693;91,907;102,100;239,533;238,420;237,173
0:48;79,620;92,960;102,053;239,360;238,153;237,320
0:49;79,633;93,807;103,820;240,127;237,880;237,220
0:50;78,453;93,513;110,767;241,540;236,980;235,600
0:51;79,440;93,167;103,900;240,120;237,520;236,727
0:52;79,027;92,860;101,113;239,860;237,593;237,760
0:53;76,020;92,033;102,033;240,673;237,120;237,787
0:54;74,080;92,387;103,640;241,073;237,253;237,607
0:55;74,773;92,640;95,007;239,980;238,367;239,367
0:56;74,613;92,807;94,200;240,067;238,267;240,013
0:57;74,327;92,027;100,073;241,180;237,660;238,887
0:58;74,727;92,473;96,573;240,460;237,853;239,580
0:59;75,907;91,127;90,507;238,893;238,327;240,173
1:0;76,093;91,700;90,267;239,120;238,660;240,747
1:1;75,653;90,933;92,053;239,840;238,347;240,773
1:2;74,793;92,127;90,253;239,587;238,593;240,467
1:3;75,373;91,973;90,407;239,280;238,807;240,620
1:4;74,953;91,853;92,073;239,880;238,853;240,613
1:5;75,107;93,673;98,540;240,900;237,753;239,180
1:6;77,093;93,140;92,227;239,640;238,887;240,713
1:7;77,907;93,000;89,680;239,280;239,820;241,507
1:8;76,767;93,047;88,893;239,667;239,647;241,860
1:9;77,020;92,987;90,827;239,427;239,140;241,093
1:10;91,880;107,973;105,840;238,473;238,333;240,627
1:11;107,913;124,833;121,807;238,000;237,940;240,500
1:12;111,993;123,067;128,713;238,007;238,067;238,980
1:13;117,187;122,700;130,240;237,253;239,007;238,567
1:14;118,193;121,880;123,973;235,940;239,167;239,187
1:15;117,467;122,653;122,960;236,393;239,433;239,280
1:16;117,927;123,020;123,807;236,700;239,993;239,540
1:17;88,487;93,120;94,900;238,307;240,853;240,607
1:18;86,227;91,947;96,160;238,580;240,673;240,133
1:19;85,693;91,627;95,893;238,633;240,960;240,153
1:20;87,267;93,413;106,500;239,980;240,540;238,567
1:21;88,153;93,420;97,360;238,820;241,827;239,627
