Min;Data1;Data2;Data3;Data4;Data5;Data6
0:0;30,713;45,180;45,447;235,293;223,800;228,380
0:1;30,687;45,460;45,460;235,067;223,673;228,693
0:2;27,080;39,787;39,760;234,500;225,847;233,740
0:3;25,827;37,667;37,400;233,480;224,680;233,340
0:4;26,493;37,713;37,360;232,867;224,720;233,793
0:5;29,727;37,527;39,027;230,940;225,547;232,380
0:6;29,720;38,907;40,020;230,913;225,093;232,227
0:7;29,573;39,913;44,713;232,420;224,127;229,480
0:8;26,167;38,280;51,913;236,620;223,300;224,013
0:9;23,520;38,307;51,287;238,927;223,693;225,287
0:10;23,033;38,613;51,313;240,013;225,067;226,193
0:11;22,847;38,887;51,047;240,767;225,313;226,600
0:12;23,173;38,480;50,900;240,340;225,280;226,660
0:13;23,627;38,540;48,493;240,313;225,693;226,593
0:14;23,893;38,607;48,307;240,893;226,147;225,053
0:15;24,013;39,307;48,760;240,093;225,020;225,833
0:16;23,967;38,967;51,093;238,613;224,360;226,027
0:17;23,767;38,280;50,893;238,400;224,893;226,087
0:18;23,947;38,100;51,233;238,573;225,287;226,880
0:19;23,633;38,273;50,907;239,040;226,107;227,413
0:20;23,640;38,320;50,873;239,200;226,700;227,393
0:21;24,120;38,327;48,913;238,393;227,113;228,793
0:22;25,193;37,867;39,947;235,540;227,813;233,387
0:23;25,227;38,107;38,613;235,347;227,527;233,393
0:24;25,440;37,780;37,353;235,247;227,827;234,147
0:25;25,113;37,973;36,973;236,440;228,013;233,747
0:26;24,493;38,187;37,793;237,093;225,973;233,340
0:27;24,953;40,453;38,787;237,013;225,000;232,600
0:28;25,040;39,013;38,793;238,260;224,920;230,347
0:29;25,440;38,927;38,973;237,960;225,780;230,487
0:30;25,167;39,453;38,840;236,393;224,373;230,927
0:31;25,560;39,040;39,207;234,353;224,693;230,980
0:32;25,540;38,467;38,387;234,360;225,613;232,660
0:33;25,660;38,587;37,340;234,660;226,607;234,067
0:34;25,600;38,567;37,307;235,020;226,900;233,773
0:35;25,493;38,607;38,553;235,807;226,433;233,733
0:36;25,247;38,900;39,567;236,413;226,580;233,013
0:37;24,940;38,927;40,127;237,067;227,933;233,073
0:38;24,940;38,853;39,887;237,080;227,327;233,187
0:39;24,800;38,887;39,067;237,167;226,453;232,907
0:40;24,927;38,707;39,107;236,327;226,287;232,393
0:41;24,940;38,680;38,487;236,620;226,940;232,860
0:42;25,253;38,533;37,353;237,120;227,660;234,753
0:43;24,780;38,133;37,100;237,427;227,020;234,627
0:44;24,340;38,133;37,367;238,407;226,287;233,673
0:45;27,587;39,087;39,333;236,747;228,900;233,513
0:46;32,707;38,887;40,113;231,853;232,793;235,033
0:47;34,133;37,693;40,560;229,360;232,107;232,600
0:48;32,647;37,840;40,253;230,420;230,673;232,600
0:49;30,020;37,953;40,113;232,313;229,347;232,700
0:50;29,793;38,193;39,693;231,673;229,707;232,347
0:51;29,953;38,313;38,513;230,860;229,913;233,580
0:52;28,580;39,867;38,547;232,473;227,553;234,007
0:53;25,527;37,747;38,173;236,013;229,233;233,940
0:54;25,107;37,907;39,227;236,767;229,173;233,433
0:55;25,000;37,940;39,133;237,900;228,700;232,880
0:56;24,940;37,900;39,073;237,853;228,787;232,807
0:57;24,827;37,953;38,980;237,300;228,420;232,733
0:58;25,467;37,727;38,733;237,667;225,787;233,467
0:59;25,527;38,033;38,593;237,853;225,347;233,593
1:0;23,353;42,353;49,153;242,380;221,687;226,060
